"Hora local en Pudahuel (aeropuerto)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"16.07.2017 02:00";"2.4";"728.9";"772.9";"0.1";"91";"Viento procedente del noreste";"2";"";"";"70 – 80%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"50%.";"1500-2000";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"1.1";"Sin precipitación";"6";"";"";"";"";
"15.07.2017 23:00";"3.2";"728.8";"772.6";"";"89";"Viento procedente del estesureste";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"40%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"1.5";"";"";"";"";"";"";
"15.07.2017 20:00";"4.1";"728.5";"772.0";"0.9";"85";"Viento procedente del sursureste";"3";"";"";"70 – 80%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"7.6";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"40%.";"1000-1500";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"1.8";"Sin precipitación";"6";"";"";"";"";
"15.07.2017 17:00";"5.6";"727.6";"770.8";"";"75";"Viento procedente del sur-oeste";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"40%.";"";"Altocúmulos translucidus a un solo nivel.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"";"1.5";"";"";"";"";"";"";
"15.07.2017 14:00";"6.0";"727.3";"770.5";"-0.6";"75";"";"";"";"";"70 – 80%.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"60%.";"600-1000";"Altocúmulos translucidus a un solo nivel.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"1.9";"2.0";"6";"";"";"";"";
"15.07.2017 11:00";"3.0";"727.9";"771.6";"";"92";"Viento procedente del oestesuroeste";"2";"";"";"70 – 80%.";"Estado del cielo sin cambios en su conjunto. ";"Lluvia con nieve y otro tipo de precipitaciones sólidas";"Lluvia.";"";"";"Estratos fractus o cúmulos fractus de mal tiempo, o ambos (pannus), generalmente debajo de altoestratos o nimboestratos.";"50%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"1.8";"";"";"";"";"";"";
"15.07.2017 08:00";"0.6";"726.5";"770.6";"1.3";"94";"Calma, escampado";"0";"";"";"100%.";"Lluvia continua, no engelante, débil en el momento de la observación. ";"Lluvia con nieve y otro tipo de precipitaciones sólidas";"Lluvia con nieve y otro tipo de precipitaciones sólidas";"0.2";"";"Estratocúmulos cumulogenitus.";"100%.";"300-600";"";"";"3.0";"-0.2";"10.0";"6";"Superficie del suelo mojada (agua estancada en charcos grandes o pequeños sobre la superficie).";"";"";"";
"15.07.2017 05:00";"1.3";"725.2";"769.2";"";"99";"Viento procedente del estenoreste";"4";"";"";"100%.";"Chubasco(s) de lluvia y nieve, débil(es). ";"Chubasco(s).";"Lluvia.";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"100%.";"";"";"";"";"1.1";"";"";"";"";"";"";
"15.07.2017 02:00";"8.6";"721.9";"764.5";"-1.2";"64";"Viento procedente del noroeste";"4";"";"";"70 – 80%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"70 – 80%.";"1500-2000";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"2.0";"Sin precipitación";"6";"";"";"";"";
"14.07.2017 23:00";"8.0";"723.1";"765.9";"";"70";"Viento procedente del sudeste";"2";"";"";"20–30%.";" ";"";"";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"20–30%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"2.8";"";"";"";"";"";"";
"14.07.2017 20:00";"8.6";"722.9";"765.6";"0.4";"78";"Viento procedente del sudeste";"3";"";"";"50%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"13.9";"Cúmulos humilis o cúmulos fractus que no sean los de mal tiempo, o ambos.";"40%.";"600-1000";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"5.0";"Sin precipitación";"6";"";"";"";"";
"14.07.2017 17:00";"13.1";"722.5";"764.4";"";"61";"";"";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"14.07.2017 14:00";"12.3";"724.3";"766.5";"-0.4";"68";"";"";"";"";"50%.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos humilis o cúmulos fractus que no sean los de mal tiempo, o ambos.";"20–30%.";"600-1000";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"6.4";"Rastros";"6";"";"";"";"";
"14.07.2017 11:00";"9.4";"724.7";"767.3";"";"85";"Viento procedente del sur";"4";"";"";"70 – 80%.";"Bruma. ";"Niebla o niebla helada o bruma espesa.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"20–30%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"6.9";"";"";"";"";"";"";
"14.07.2017 08:00";"5.9";"723.8";"766.9";"-1.5";"97";"Viento procedente del norte";"3";"";"";"20–30%.";"En bancos capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"4.8";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"0.2";"5.5";"Sin precipitación";"6";"Superficie del suelo húmeda.";"";"";"";
"14.07.2017 05:00";"7.7";"725.3";"768.2";"";"93";"";"";"";"";"100%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"14.07.2017 02:00";"8.8";"725.4";"768.1";"-0.1";"90";"";"";"";"";"100%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"60%.";"600-1000";"Altocúmulos translucidus u opacus en dos o más capas, o altocúmulos opacus en una sola capa, que no invaden progresiva-mente el cielo, o altocúmulos con altoestratos o nimboestratos.";"";"10.0";"7.3";"Sin precipitación";"6";"";"";"";"";
"13.07.2017 23:00";"9.9";"725.5";"768.1";"";"84";"Viento procedente del sursureste";"4";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"13.07.2017 20:00";"10.4";"725.8";"768.3";"0.6";"88";"Viento procedente del sur";"2";"";"";"90  o más, pero no 100%";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"14.2";"Estratocúmulos cumulogenitus.";"60%.";"1500-2000";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"10.0";"8.5";"Sin precipitación";"6";"";"";"";"";
"13.07.2017 17:00";"13.2";"725.2";"767.3";"";"74";"Viento procedente del sur";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"40%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrocúmulos solos, o cirrocúmulos acompañados de cirrus o de cirroestratos, o ambos, pero predominando los cirrocúmulos.";"";"8.7";"";"";"";"";"";"";
"13.07.2017 14:00";"12.8";"725.5";"767.7";"-0.7";"69";"Viento procedente del sur";"3";"";"";"70 – 80%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"40%.";"600-1000";"Altocúmulos translucidus en bandas, o una o más capas de altocúmulos translucidus u opacus, que progresivamente invaden el cielo; estos altocúmulos generalmente se hacen más densos en conjunto.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"7.3";"Sin precipitación";"6";"";"";"";"";
"13.07.2017 11:00";"9.2";"726.2";"769.0";"";"90";"";"";"";"";"50%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos y estratocúmulos que no sean estratocúmulos cumulogenitus, con bases a niveles diferentes.";"20–30%.";"";"Altoestratos translucidus.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"7.6";"";"";"";"";"";"";
"13.07.2017 08:00";"6.6";"725.1";"768.1";"2.0";"95";"Viento procedente del noreste";"2";"";"";"100%.";"Lluvia continua, no engelante, débil en el momento de la observación. ";"Chubasco(s).";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"4.8";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"60%.";"1000-1500";"Altoestratos opacus o nimboestratos.";"";"3.0";"5.9";"0.8";"6";"Superficie del suelo mojada (agua estancada en charcos grandes o pequeños sobre la superficie).";"";"";"";
"13.07.2017 05:00";"5.5";"723.1";"766.2";"";"96";"Viento procedente del nornoroeste";"2";"";"";"70 – 80%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"20–30%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"4.9";"";"";"";"";"";"";
"13.07.2017 02:00";"4.8";"722.5";"765.7";"-0.4";"90";"Viento procedente del nornoroeste";"2";"";"";"50%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"2.0";"3.3";"Sin precipitación";"6";"";"";"";"";
"12.07.2017 23:00";"8.3";"722.9";"765.6";"";"87";"Viento procedente del sur-oeste";"2";"";"";"50%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"20–30%.";"";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"";"6.3";"";"";"";"";"";"";
"12.07.2017 20:00";"10.9";"722.2";"764.4";"1.0";"75";"Viento procedente del sudeste";"3";"";"";"90  o más, pero no 100%";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"13.9";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"40%.";"1000-1500";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus (frecuentemente en bandas) y cirroestratos, o cirroestratos solos, que invaden progresivamente el cielo; generalmente se hacen más densos en conjunto, su velo continuo se extiende a más de 45 grados sobre el horizonte, sin alcanzar a cubrir totalmente el cielo.";"10.0";"6.6";"Sin precipitación";"6";"";"";"";"";
"12.07.2017 17:00";"12.3";"721.2";"763.2";"";"74";"Viento procedente del sur";"5";"";"";"100%.";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"12.07.2017 14:00";"13.7";"720.5";"762.1";"-1.0";"68";"Viento procedente del sur";"5";"";"";"90  o más, pero no 100%";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirroestratos que no invaden progresivamente el cielo y que no lo cubren en su totalidad.";"8.0";"7.9";"Sin precipitación";"6";"";"";"";"";
"12.07.2017 11:00";"9.7";"721.5";"763.9";"";"81";"";"";"";"";"sin nubes.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"12.07.2017 08:00";"6.5";"721.2";"763.9";"1.3";"90";"";"";"";"";"70 – 80%.";"Tempestad de polvo o de arena a la vista en el momento de la observación, o en la estación misma durante la hora precedente. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"6.5";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"70 – 80%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"3.0";"4.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"12.07.2017 05:00";"7.1";"719.9";"762.4";"";"87";"Viento procedente del sur-oeste";"2";"";"";"70 – 80%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"90  o más, pero no 100%";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"5.1";"";"";"";"";"";"";
"12.07.2017 02:00";"6.5";"719.2";"761.8";"-0.7";"87";"";"";"";"";"70 – 80%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"70 – 80%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"5.0";"4.5";"Sin precipitación";"6";"";"";"";"";
"11.07.2017 23:00";"10.2";"719.9";"762.0";"";"74";"Calma, escampado";"0";"";"";"50%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"";"5.7";"";"";"";"";"";"";
"11.07.2017 20:00";"13.6";"719.3";"761.0";"0.9";"57";"Viento procedente del sursureste";"4";"";"";"60%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"19.8";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"60%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"5.2";"Sin precipitación";"6";"";"";"";"";
"11.07.2017 17:00";"17.4";"718.4";"759.4";"";"51";"Viento procedente del sur";"5";"";"";"sin nubes.";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"11.07.2017 14:00";"18.5";"718.4";"759.3";"-1.0";"42";"Viento procedente del sursuroeste";"2";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"5.4";"Sin precipitación";"6";"";"";"";"";
"11.07.2017 11:00";"9.0";"719.4";"761.8";"";"79";"";"";"";"";"sin nubes.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"11.07.2017 08:00";"1.6";"719.6";"763.1";"0.0";"97";"Calma, escampado";"0";"";"";"sin nubes.";"Niebla o niebla helada, cielo visible, ha comenzado o se ha espesado en el curso de la hora precedente. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"0.2";"";"";"";"";"";"";"0.2";"1.1";"Sin precipitación";"6";"Superficie del suelo helada.";"";"";"";
"11.07.2017 05:00";"0.7";"719.6";"763.3";"";"97";"Viento procedente del nornoreste";"2";"";"";"50%.";"Niebla o niebla helada, cielo visible, ha comenzado o se ha espesado en el curso de la hora precedente. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"0.2";"";"";"";"";"";"";
"11.07.2017 02:00";"3.0";"720.7";"764.1";"-1.0";"97";"Viento procedente del nornoreste";"1";"";"";"60%.";"En bancos capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"0.4";"2.6";"Rastros";"6";"";"";"";"";
"10.07.2017 23:00";"4.0";"721.7";"764.8";"";"95";"Viento procedente del nornoroeste";"1";"";"";"50%.";"En bancos capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"10.07.2017 20:00";"9.3";"721.9";"764.2";"0.9";"90";"";"";"";"";"60%.";"Neblina. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"14.8";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"3.0";"7.8";"Sin precipitación";"6";"";"";"";"";
"10.07.2017 17:00";"14.8";"721.0";"762.4";"";"64";"";"";"";"";"70 – 80%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"10.07.2017 14:00";"9.7";"721.7";"764.0";"-1.5";"90";"Viento procedente del oeste";"2";"";"";"70 – 80%.";"Neblina. ";"Niebla o niebla helada o bruma espesa.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"Estratos nebulosus o estratos fractus que no sean de mal tiempo, o ambos.";"70 – 80%.";"100-200";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"2.0";"8.2";"Sin precipitación";"6";"";"";"";"";
"10.07.2017 11:00";"6.8";"723.2";"766.0";"";"99";"";"";"";"";"100%.";"Niebla o niebla helada en bancos. ";"Niebla o niebla helada o bruma espesa.";"Niebla o niebla helada o bruma espesa.";"";"";"Estratos nebulosus o estratos fractus que no sean de mal tiempo, o ambos.";"100%.";"";"";"";"";"6.7";"";"";"";"";"";"";
"10.07.2017 08:00";"4.8";"723.0";"766.1";"-0.1";"100";"Viento procedente del nornoroeste";"3";"";"";"";"Niebla o niebla helada, cielo invisible, sin cambio apreciable en el curso de la hora precedente. ";"Niebla o niebla helada o bruma espesa.";"Niebla o niebla helada o bruma espesa.";"2.9";"";"";"";"";"";"";"0.4";"4.8";"Sin precipitación";"6";"Superficie del suelo húmeda.";"";"";"";
"10.07.2017 05:00";"5.4";"723.1";"766.1";"";"100";"Viento procedente del este";"2";"";"";"";"Niebla o niebla helada, cielo invisible, sin cambio apreciable en el curso de la hora precedente. ";"Niebla o niebla helada o bruma espesa.";"Niebla o niebla helada o bruma espesa.";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"10.07.2017 02:00";"4.8";"723.7";"766.8";"0.2";"93";"Calma, escampado";"0";"";"";"50%.";"Bruma. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus spissatus, en bancos o haces entreverados, que generalmente no aumentan y que a veces parecen restos de la parte superior de un cumulonimbus; o cirrus castellanus o floccus.";"0.8";"3.7";"Sin precipitación";"6";"";"";"";"";
"09.07.2017 23:00";"8.4";"723.5";"766.0";"";"94";"Viento procedente del sursureste";"2";"";"";"sin nubes.";"En bancos capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"09.07.2017 20:00";"10.5";"723.6";"766.0";"0.5";"84";"Viento procedente del sur";"2";"";"";"50%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"15.7";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"5.0";"7.8";"Sin precipitación";"6";"";"";"";"";
"09.07.2017 17:00";"14.9";"723.1";"764.8";"";"68";"Viento procedente del sur";"4";"";"";"50%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"09.07.2017 14:00";"14.6";"723.3";"765.1";"-2.0";"63";"Viento procedente del nornoreste";"2";"";"";"70 – 80%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"20–30%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"7.0";"7.5";"Sin precipitación";"6";"";"";"";"";
"09.07.2017 11:00";"9.8";"725.3";"767.9";"";"79";"Viento procedente del oeste";"2";"";"";"70 – 80%.";"Bruma. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"09.07.2017 08:00";"3.4";"725.2";"768.7";"1.0";"97";"Viento procedente del noreste";"2";"";"";"90  o más, pero no 100%";"Neblina. ";"Niebla o niebla helada o bruma espesa.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"3.4";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus (frecuentemente en bandas) y cirroestratos, o cirroestratos solos, que invaden progresivamente el cielo; generalmente se hacen más densos en conjunto, su velo continuo se extiende a más de 45 grados sobre el horizonte, sin alcanzar a cubrir totalmente el cielo.";"1.5";"2.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"09.07.2017 05:00";"5.1";"724.2";"767.5";"";"97";"Calma, escampado";"0";"";"";"70 – 80%.";"Neblina. ";"Niebla o niebla helada o bruma espesa.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"09.07.2017 02:00";"6.7";"724.8";"767.8";"0.1";"87";"Viento procedente del sur";"1";"";"";"90  o más, pero no 100%";"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"sin nubes.";"2500 o más, o sin nuves.";"No hay altocúmulos, altoestratos, ni nimboestratos.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"4.0";"4.7";"Sin precipitación";"6";"";"";"";"";
